S.No,Parliament Constituency,Constituency Name,State,Winning Candidate,Total Votes,Margin,Constituency ID,Party ID
48,SOLAPUR(42),SOLAPUR,Maharashtra,PRANITI SUSHILKUMAR SHINDE,620225,74197,S1342,742
12,SONIPAT(6),SONIPAT,Haryana,SATPAL BRAHAMCHARI,548682,21816,S076,742
12,SONITPUR(11),SONITPUR,Assam,RANJIT DUTTA,775788,361408,S0311,369
238,SOUTHDELHI(7),SOUTHDELHI,Goa,RAMVIR SINGH BIDHURI,692832,124333,U057,369
7,SOUTHGOA(2),SOUTHGOA,Goa,CAPTAIN  VIRIATO FERNANDES,217836,13535,S052,742
18,SRERAMPUR(27),SRERAMPUR,West Bengal,KALYAN BANERJEE,673970,174830,S2527,140
1,SRIKAKULAM(2),SRIKAKULAM,Andhra Pradesh,KINJARAPU RAMMOHAN NAIDU,754328,327901,S012,1745
1,SRINAGAR(2),SRINAGAR,Jammu and Kashmir,AGA SYED RUHULLAH MEHDI,356866,188416,U082,834
4,SRIPERUMBUDUR(5),SRIPERUMBUDUR,Tamil Nadu,T R BAALU,758611,487029,S225,582
14,SULTANPUR(38),SULTANPUR,Uttar Pradesh,RAMBHUAL NISHAD,444330,43174,S2438,1680
119,SUNDARGARH(2),SUNDARGARH,Odisha,JUAL ORAM,494282,138808,S182,369
5,SUPAUL(8),SUPAUL,Bihar,DILESHWAR KAMAIT,595038,169803,S048,805
50,SURAT(24),SURAT,Gujarat,MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-,S0624,369
35,SURENDRANAGAR(9),SURENDRANAGAR,Gujarat,CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617,S069,369
199,SURGUJA(1),SURGUJA,Chhattisgarh,CHINTAMANI MAHARAJ,713200,64822,S261,369
195,TAMLUK(30),TAMLUK,West Bengal,ABHIJIT GANGOPADHYAY,765584,77733,S2530,369
217,TEHRIGARHWAL(1),TEHRIGARHWAL,Uttarakhand,MALA RAJYA LAKSHMI SHAH,462603,272493,S281,369
22,TENKASI(37),TENKASI,Tamil Nadu,DR RANI SRI KUMAR,425679,196199,S2237,582
4,THANE(25),THANE,Maharashtra,NARESH GANPAT MHASKE,734231,217011,S1325,3529
19,THANJAVUR(30),THANJAVUR,Tamil Nadu,MURASOLI S,502245,319583,S2230,582
20,THENI(33),THENI,Tamil Nadu,THANGA TAMILSELVAN,571493,278825,S2233,582
3,THIRUPATHI(SC)(23),THIRUPATHI(SC),Andhra Pradesh,GURUMOORTHY MADDILA,632228,14569,S0123,1888
36,THIRUVANANTHAPURAM(20),THIRUVANANTHAPURAM,Kerala,SHASHI THAROOR,358155,16077,S1120,742
21,THOOTHUKKUDI(36),THOOTHUKKUDI,Tamil Nadu,KANIMOZHI KARUNANIDHI,540729,392738,S2236,582
79,THRISSUR(10),THRISSUR,Kerala,SURESH GOPI,412338,74686,S1110,369
